date,impressions reçues,impressions prises,revenu,key,inventaire,fillRate,cpm,site,emplacement,position,format,annonceur,impressions envoyees,discrepencies,impressions facturables,campagne
2017/03/01,NA,3511,10.79,1113,AMS Market Place,22.75%,3.07,DZFoot,DZFoot_1x1_habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,15432,NA,ND,ND
2017/03/01,NA,9340,29.19,1801,AMS Market Place,28.00%,3.13,Le Rugbynistere,Rugbynistere_Habillage_RG_ATF,Haut,1600x1000,Sublime Skinz,33362,NA,ND,ND
2017/03/01,NA,609,1.9,1802,AMS Market Place,89.69%,3.12,Rugby Transferts,RugbyTransferts_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,679,NA,ND,ND
2017/03/01,NA,1276,4.04,2437,AMS Market Place,16.60%,3.17,Hockey Hebdo,HockeyHebdo_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,7686,NA,ND,ND
2017/03/01,NA,493,1.54,4565,AMS Market Place,16.71%,3.12,Sportune,Sportune_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,2951,NA,ND,ND
2017/03/01,NA,3255,9.92,4566,AMS Market Place,NA,3.05,Cahiers du Football,CahierDuFootball_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,NA,NA,ND,ND
2017/03/01,NA,3129,9.72,4567,AMS Market Place,41.36%,3.11,Les Violets,AllezTFC_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,7565,NA,ND,ND
2017/03/01,NA,123,0.39,4571,AMS Market Place,7.86%,3.17,Footito,Footito_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1564,NA,ND,ND
2017/03/01,NA,1079,3.39,8100,AMS Market Place,64.42%,3.14,Actu Rugby,ActuRugby_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1675,NA,ND,ND
2017/03/01,NA,2116,6.41,13359,AMS Market Place,13.43%,3.03,Scorecast,Scorecast_habillage_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,15753,NA,ND,ND
2017/03/02,NA,1649,4.96,1113,AMS Market Place,11.96%,3.01,DZFoot,DZFoot_1x1_habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,13789,NA,ND,ND
2017/03/02,NA,1505,4.52,1801,AMS Market Place,5.26%,3,Le Rugbynistere,Rugbynistere_Habillage_RG_ATF,Haut,1600x1000,Sublime Skinz,28631,NA,ND,ND
2017/03/02,NA,13,0.04,1802,AMS Market Place,86.67%,3.08,Rugby Transferts,RugbyTransferts_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,15,NA,ND,ND
2017/03/02,NA,403,1.21,2437,AMS Market Place,7.88%,3,Hockey Hebdo,HockeyHebdo_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,5114,NA,ND,ND
2017/03/02,NA,211,0.64,4565,AMS Market Place,8.86%,3.03,Sportune,Sportune_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,2381,NA,ND,ND
2017/03/02,NA,1753,5.26,4566,AMS Market Place,NA,3,Cahiers du Football,CahierDuFootball_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,NA,NA,ND,ND
2017/03/02,NA,1198,3.63,4567,AMS Market Place,14.87%,3.03,Les Violets,AllezTFC_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,8057,NA,ND,ND
2017/03/02,NA,52,0.16,4571,AMS Market Place,3.43%,3.08,Footito,Footito_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1514,NA,ND,ND
2017/03/02,NA,25,0.08,8100,AMS Market Place,4.74%,3.2,Actu Rugby,ActuRugby_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,527,NA,ND,ND
2017/03/02,NA,1134,3.4,13359,AMS Market Place,7.63%,3,Scorecast,Scorecast_habillage_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,14860,NA,ND,ND
2017/03/03,NA,2470,7.46,1113,AMS Market Place,11.39%,3.02,DZFoot,DZFoot_1x1_habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,21688,NA,ND,ND
2017/03/03,NA,2846,8.54,1801,AMS Market Place,8.36%,3,Le Rugbynistere,Rugbynistere_Habillage_RG_ATF,Haut,1600x1000,Sublime Skinz,34035,NA,ND,ND
2017/03/03,NA,2365,7.16,1802,AMS Market Place,49.26%,3.03,Rugby Transferts,RugbyTransferts_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,4801,NA,ND,ND
2017/03/03,NA,453,1.65,2437,AMS Market Place,9.90%,3.64,Hockey Hebdo,HockeyHebdo_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,4575,NA,ND,ND
2017/03/03,NA,334,1.08,4565,AMS Market Place,15.07%,3.23,Sportune,Sportune_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,2217,NA,ND,ND
2017/03/03,NA,2742,8.22,4566,AMS Market Place,NA,3,Cahiers du Football,CahierDuFootball_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,NA,NA,ND,ND
2017/03/03,NA,2513,7.64,4567,AMS Market Place,30.30%,3.04,Les Violets,AllezTFC_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,8293,NA,ND,ND
2017/03/03,NA,82,0.26,4571,AMS Market Place,7.69%,3.17,Footito,Footito_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1066,NA,ND,ND
2017/03/03,NA,35,0.11,8100,AMS Market Place,9.83%,3.14,Actu Rugby,ActuRugby_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,356,NA,ND,ND
2017/03/03,NA,3215,9.65,13359,AMS Market Place,9.99%,3,Scorecast,Scorecast_habillage_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,32173,NA,ND,ND
2017/03/04,NA,3174,9.97,1113,AMS Market Place,13.58%,3.14,DZFoot,DZFoot_1x1_habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,23365,NA,ND,ND
2017/03/04,NA,44,0.14,1801,AMS Market Place,0.96%,3.18,Le Rugbynistere,Rugbynistere_Habillage_RG_ATF,Haut,1600x1000,Sublime Skinz,4575,NA,ND,ND
2017/03/04,NA,2159,6.56,1802,AMS Market Place,47.71%,3.04,Rugby Transferts,RugbyTransferts_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,4525,NA,ND,ND
2017/03/04,NA,345,1.04,2437,AMS Market Place,4.46%,3.01,Hockey Hebdo,HockeyHebdo_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,7731,NA,ND,ND
2017/03/04,NA,99,0.3,4565,AMS Market Place,6.53%,3.03,Sportune,Sportune_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1515,NA,ND,ND
2017/03/04,NA,1214,3.68,4566,AMS Market Place,NA,3.03,Cahiers du Football,CahierDuFootball_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,NA,NA,ND,ND
2017/03/04,NA,1557,4.73,4567,AMS Market Place,24.50%,3.04,Les Violets,AllezTFC_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,6355,NA,ND,ND
2017/03/04,NA,82,0.27,4571,AMS Market Place,7.95%,3.29,Footito,Footito_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1032,NA,ND,ND
2017/03/04,NA,83,0.25,8100,AMS Market Place,5.67%,3.01,Actu Rugby,ActuRugby_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1464,NA,ND,ND
2017/03/04,NA,1801,5.41,13359,AMS Market Place,4.62%,3,Scorecast,Scorecast_habillage_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,38949,NA,ND,ND
2017/03/05,NA,6042,19.37,1113,AMS Market Place,21.99%,3.21,DZFoot,DZFoot_1x1_habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,27478,NA,ND,ND
2017/03/05,NA,21,0.07,1801,AMS Market Place,0.59%,3.33,Le Rugbynistere,Rugbynistere_Habillage_RG_ATF,Haut,1600x1000,Sublime Skinz,3582,NA,ND,ND
2017/03/05,NA,531,1.6,1802,AMS Market Place,11.33%,3.01,Rugby Transferts,RugbyTransferts_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,4688,NA,ND,ND
2017/03/05,NA,482,1.45,2437,AMS Market Place,4.29%,3.01,Hockey Hebdo,HockeyHebdo_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,11246,NA,ND,ND
2017/03/05,NA,73,0.23,4565,AMS Market Place,4.77%,3.15,Sportune,Sportune_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1529,NA,ND,ND
2017/03/05,NA,801,2.4,4566,AMS Market Place,NA,3,Cahiers du Football,CahierDuFootball_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,NA,NA,ND,ND
2017/03/05,NA,875,2.66,4567,AMS Market Place,11.13%,3.04,Les Violets,AllezTFC_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,7863,NA,ND,ND
2017/03/05,NA,85,0.28,4571,AMS Market Place,7.33%,3.29,Footito,Footito_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1160,NA,ND,ND
2017/03/05,NA,3,0.01,8100,AMS Market Place,0.38%,3.33,Actu Rugby,ActuRugby_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,785,NA,ND,ND
2017/03/05,NA,1471,4.42,13359,AMS Market Place,3.90%,3,Scorecast,Scorecast_habillage_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,37681,NA,ND,ND
2017/03/06,NA,2479,7.46,1113,AMS Market Place,13.19%,3.01,DZFoot,DZFoot_1x1_habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,18800,NA,ND,ND
2017/03/06,NA,66,0.2,1801,AMS Market Place,1.66%,3.03,Le Rugbynistere,Rugbynistere_Habillage_RG_ATF,Haut,1600x1000,Sublime Skinz,3973,NA,ND,ND
2017/03/06,NA,2727,8.24,1802,AMS Market Place,26.46%,3.02,Rugby Transferts,RugbyTransferts_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,10306,NA,ND,ND
2017/03/06,NA,460,1.39,2437,AMS Market Place,7.06%,3.02,Hockey Hebdo,HockeyHebdo_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,6520,NA,ND,ND
2017/03/06,NA,276,0.96,4565,AMS Market Place,8.53%,3.48,Sportune,Sportune_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,3234,NA,ND,ND
2017/03/06,NA,2282,6.85,4566,AMS Market Place,NA,3,Cahiers du Football,CahierDuFootball_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,NA,NA,ND,ND
2017/03/06,NA,2291,6.96,4567,AMS Market Place,22.62%,3.04,Les Violets,AllezTFC_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,10127,NA,ND,ND
2017/03/06,NA,87,0.27,4571,AMS Market Place,6.43%,3.1,Footito,Footito_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1354,NA,ND,ND
2017/03/06,NA,158,0.48,8100,AMS Market Place,7.34%,3.04,Actu Rugby,ActuRugby_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,2153,NA,ND,ND
2017/03/06,NA,2921,8.77,13359,AMS Market Place,14.31%,3,Scorecast,Scorecast_habillage_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,20419,NA,ND,ND
2017/03/07,NA,1697,5.11,1113,AMS Market Place,14.83%,3.01,DZFoot,DZFoot_1x1_habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,11445,NA,ND,ND
2017/03/07,NA,1136,3.41,1801,AMS Market Place,2.77%,3,Le Rugbynistere,Rugbynistere_Habillage_RG_ATF,Haut,1600x1000,Sublime Skinz,41014,NA,ND,ND
2017/03/07,NA,3225,9.8,1802,AMS Market Place,56.05%,3.04,Rugby Transferts,RugbyTransferts_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,5754,NA,ND,ND
2017/03/07,NA,306,0.92,2437,AMS Market Place,7.10%,3.01,Hockey Hebdo,HockeyHebdo_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,4309,NA,ND,ND
2017/03/07,NA,324,1,4565,AMS Market Place,12.03%,3.09,Sportune,Sportune_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,2694,NA,ND,ND
2017/03/07,NA,2532,7.6,4566,AMS Market Place,NA,3,Cahiers du Football,CahierDuFootball_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,NA,NA,ND,ND
2017/03/07,NA,1885,5.74,4567,AMS Market Place,34.41%,3.05,Les Violets,AllezTFC_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,5478,NA,ND,ND
2017/03/07,NA,106,0.34,4571,AMS Market Place,6.42%,3.21,Footito,Footito_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1651,NA,ND,ND
2017/03/07,NA,158,0.55,8100,AMS Market Place,8.05%,3.48,Actu Rugby,ActuRugby_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1962,NA,ND,ND
2017/03/07,NA,2475,7.43,13359,AMS Market Place,7.81%,3,Scorecast,Scorecast_habillage_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,31682,NA,ND,ND
2017/03/08,NA,2309,7,1113,AMS Market Place,21.68%,3.03,DZFoot,DZFoot_1x1_habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,10649,NA,ND,ND
2017/03/08,NA,2085,6.35,1801,AMS Market Place,5.76%,3.05,Le Rugbynistere,Rugbynistere_Habillage_RG_ATF,Haut,1600x1000,Sublime Skinz,36191,NA,ND,ND
2017/03/08,NA,3303,10.04,1802,AMS Market Place,80.56%,3.04,Rugby Transferts,RugbyTransferts_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,4100,NA,ND,ND
2017/03/08,NA,862,2.62,2437,AMS Market Place,11.26%,3.04,Hockey Hebdo,HockeyHebdo_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,7657,NA,ND,ND
2017/03/08,NA,795,2.45,4565,AMS Market Place,17.35%,3.08,Sportune,Sportune_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,4581,NA,ND,ND
2017/03/08,NA,4939,14.83,4566,AMS Market Place,NA,3,Cahiers du Football,CahierDuFootball_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,NA,NA,ND,ND
2017/03/08,NA,2178,6.63,4567,AMS Market Place,36.98%,3.04,Les Violets,AllezTFC_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,5889,NA,ND,ND
2017/03/08,NA,215,0.67,4571,AMS Market Place,8.70%,3.12,Footito,Footito_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,2470,NA,ND,ND
2017/03/08,NA,173,0.55,8100,AMS Market Place,8.32%,3.18,Actu Rugby,ActuRugby_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,2080,NA,ND,ND
2017/03/08,NA,4008,12.05,13359,AMS Market Place,14.53%,3.01,Scorecast,Scorecast_habillage_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,27591,NA,ND,ND
2017/03/09,NA,1531,4.62,1113,AMS Market Place,10.74%,3.02,DZFoot,DZFoot_1x1_habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,14256,NA,ND,ND
2017/03/09,NA,1736,5.37,1801,AMS Market Place,5.06%,3.09,Le Rugbynistere,Rugbynistere_Habillage_RG_ATF,Haut,1600x1000,Sublime Skinz,34304,NA,ND,ND
2017/03/09,NA,1073,3.26,1802,AMS Market Place,29.05%,3.04,Rugby Transferts,RugbyTransferts_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,3694,NA,ND,ND
2017/03/09,NA,630,1.9,2437,AMS Market Place,8.63%,3.02,Hockey Hebdo,HockeyHebdo_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,7302,NA,ND,ND
2017/03/09,NA,589,2.16,4565,AMS Market Place,8.99%,3.67,Sportune,Sportune_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,6552,NA,ND,ND
2017/03/09,NA,2474,7.44,4566,AMS Market Place,NA,3.01,Cahiers du Football,CahierDuFootball_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,NA,NA,ND,ND
2017/03/09,NA,667,2.03,4567,AMS Market Place,10.73%,3.04,Les Violets,AllezTFC_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,6215,NA,ND,ND
2017/03/09,NA,387,1.2,4571,AMS Market Place,4.64%,3.1,Footito,Footito_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,8348,NA,ND,ND
2017/03/09,NA,2,0.01,8100,AMS Market Place,0.13%,5,Actu Rugby,ActuRugby_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1582,NA,ND,ND
2017/03/09,NA,1165,3.5,13359,AMS Market Place,6.50%,3,Scorecast,Scorecast_habillage_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,17932,NA,ND,ND
2017/03/10,NA,2583,7.81,1113,AMS Market Place,10.08%,3.02,DZFoot,DZFoot_1x1_habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,25615,NA,ND,ND
2017/03/10,NA,16149,57.48,1801,AMS Market Place,46.80%,3.56,Le Rugbynistere,Rugbynistere_Habillage_RG_ATF,Haut,1600x1000,Sublime Skinz,34507,NA,ND,ND
2017/03/10,NA,1258,3.8,1802,AMS Market Place,21.65%,3.02,Rugby Transferts,RugbyTransferts_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,5810,NA,ND,ND
2017/03/10,NA,608,1.9,2437,AMS Market Place,12.02%,3.13,Hockey Hebdo,HockeyHebdo_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,5060,NA,ND,ND
2017/03/10,NA,438,1.34,4565,AMS Market Place,11.13%,3.06,Sportune,Sportune_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,3935,NA,ND,ND
2017/03/10,NA,1945,5.85,4566,AMS Market Place,NA,3.01,Cahiers du Football,CahierDuFootball_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,NA,NA,ND,ND
2017/03/10,NA,1211,3.69,4567,AMS Market Place,17.76%,3.05,Les Violets,AllezTFC_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,6820,NA,ND,ND
2017/03/10,NA,174,0.54,4571,AMS Market Place,6.11%,3.1,Footito,Footito_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,2850,NA,ND,ND
2017/03/10,NA,183,0.57,8100,AMS Market Place,26.14%,3.11,Actu Rugby,ActuRugby_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,700,NA,ND,ND
2017/03/10,NA,1931,5.82,13359,AMS Market Place,4.78%,3.01,Scorecast,Scorecast_habillage_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,40439,NA,ND,ND
2017/03/11,NA,2850,8.61,1113,AMS Market Place,14.58%,3.02,DZFoot,DZFoot_1x1_habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,19548,NA,ND,ND
2017/03/11,NA,11736,44.96,1801,AMS Market Place,47.08%,3.83,Le Rugbynistere,Rugbynistere_Habillage_RG_ATF,Haut,1600x1000,Sublime Skinz,24929,NA,ND,ND
2017/03/11,NA,998,3.04,1802,AMS Market Place,41.15%,3.05,Rugby Transferts,RugbyTransferts_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,2425,NA,ND,ND
2017/03/11,NA,534,1.67,2437,AMS Market Place,10.09%,3.13,Hockey Hebdo,HockeyHebdo_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,5294,NA,ND,ND
2017/03/11,NA,273,0.86,4565,AMS Market Place,19.51%,3.15,Sportune,Sportune_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1399,NA,ND,ND
2017/03/11,NA,1090,3.29,4566,AMS Market Place,NA,3.02,Cahiers du Football,CahierDuFootball_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,NA,NA,ND,ND
2017/03/11,NA,1207,3.68,4567,AMS Market Place,32.17%,3.05,Les Violets,AllezTFC_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,3752,NA,ND,ND
2017/03/11,NA,109,0.34,4571,AMS Market Place,7.06%,3.12,Footito,Footito_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1545,NA,ND,ND
2017/03/11,NA,42,0.13,8100,AMS Market Place,12.28%,3.1,Actu Rugby,ActuRugby_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,342,NA,ND,ND
2017/03/11,NA,1704,5.12,13359,AMS Market Place,4.35%,3,Scorecast,Scorecast_habillage_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,39166,NA,ND,ND
2017/03/12,NA,1911,5.78,1113,AMS Market Place,13.88%,3.02,DZFoot,DZFoot_1x1_habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,13770,NA,ND,ND
2017/03/12,NA,13267,54.12,1801,AMS Market Place,45.86%,4.08,Le Rugbynistere,Rugbynistere_Habillage_RG_ATF,Haut,1600x1000,Sublime Skinz,28928,NA,ND,ND
2017/03/12,NA,1488,4.51,1802,AMS Market Place,51.86%,3.03,Rugby Transferts,RugbyTransferts_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,2869,NA,ND,ND
2017/03/12,NA,496,1.54,2437,AMS Market Place,8.48%,3.1,Hockey Hebdo,HockeyHebdo_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,5848,NA,ND,ND
2017/03/12,NA,286,0.94,4565,AMS Market Place,25.15%,3.29,Sportune,Sportune_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1137,NA,ND,ND
2017/03/12,NA,1312,3.96,4566,AMS Market Place,NA,3.02,Cahiers du Football,CahierDuFootball_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,NA,NA,ND,ND
2017/03/12,NA,2857,8.71,4567,AMS Market Place,41.81%,3.05,Les Violets,AllezTFC_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,6833,NA,ND,ND
2017/03/12,NA,131,0.42,4571,AMS Market Place,8.09%,3.21,Footito,Footito_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1619,NA,ND,ND
2017/03/12,NA,194,0.61,8100,AMS Market Place,45.33%,3.14,Actu Rugby,ActuRugby_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,428,NA,ND,ND
2017/03/12,NA,3147,9.49,13359,AMS Market Place,22.09%,3.02,Scorecast,Scorecast_habillage_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,14247,NA,ND,ND
2017/03/13,NA,2454,7.4,1113,AMS Market Place,11.77%,3.02,DZFoot,DZFoot_1x1_habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,20851,NA,ND,ND
2017/03/13,NA,25505,81.55,1801,AMS Market Place,36.23%,3.2,Le Rugbynistere,Rugbynistere_Habillage_RG_ATF,Haut,1600x1000,Sublime Skinz,70402,NA,ND,ND
2017/03/13,NA,2300,7.02,1802,AMS Market Place,18.69%,3.05,Rugby Transferts,RugbyTransferts_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,12306,NA,ND,ND
2017/03/13,NA,470,1.43,2437,AMS Market Place,9.16%,3.04,Hockey Hebdo,HockeyHebdo_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,5131,NA,ND,ND
2017/03/13,NA,495,1.57,4565,AMS Market Place,12.31%,3.17,Sportune,Sportune_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,4022,NA,ND,ND
2017/03/13,NA,1901,5.73,4566,AMS Market Place,NA,3.01,Cahiers du Football,CahierDuFootball_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,NA,NA,ND,ND
2017/03/13,NA,1425,4.35,4567,AMS Market Place,15.90%,3.05,Les Violets,AllezTFC_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,8962,NA,ND,ND
2017/03/13,NA,236,0.73,4571,AMS Market Place,11.99%,3.09,Footito,Footito_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1969,NA,ND,ND
2017/03/13,NA,19,0.06,8100,AMS Market Place,3.33%,3.16,Actu Rugby,ActuRugby_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,570,NA,ND,ND
2017/03/13,NA,1547,4.65,13359,AMS Market Place,16.24%,3.01,Scorecast,Scorecast_habillage_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,9528,NA,ND,ND
2017/03/14,NA,2662,8.05,1113,AMS Market Place,16.27%,3.02,DZFoot,DZFoot_1x1_habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,16361,NA,ND,ND
2017/03/14,NA,12274,40.32,1801,AMS Market Place,26.15%,3.28,Le Rugbynistere,Rugbynistere_Habillage_RG_ATF,Haut,1600x1000,Sublime Skinz,46933,NA,ND,ND
2017/03/14,NA,4456,13.56,1802,AMS Market Place,52.06%,3.04,Rugby Transferts,RugbyTransferts_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,8560,NA,ND,ND
2017/03/14,NA,468,1.41,2437,AMS Market Place,6.46%,3.01,Hockey Hebdo,HockeyHebdo_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,7244,NA,ND,ND
2017/03/14,NA,471,1.44,4565,AMS Market Place,15.98%,3.06,Sportune,Sportune_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,2947,NA,ND,ND
2017/03/14,NA,2492,7.49,4566,AMS Market Place,NA,3.01,Cahiers du Football,CahierDuFootball_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,NA,NA,ND,ND
2017/03/14,NA,2153,6.54,4567,AMS Market Place,32.24%,3.04,Les Violets,AllezTFC_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,6678,NA,ND,ND
2017/03/14,NA,125,0.39,4571,AMS Market Place,7.16%,3.12,Footito,Footito_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1747,NA,ND,ND
2017/03/14,NA,25,0.08,8100,AMS Market Place,5.94%,3.2,Actu Rugby,ActuRugby_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,421,NA,ND,ND
2017/03/14,NA,1564,4.7,13359,AMS Market Place,16.15%,3.01,Scorecast,Scorecast_habillage_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,9685,NA,ND,ND
2017/03/15,NA,1544,4.65,1113,AMS Market Place,16.05%,3.01,DZFoot,DZFoot_1x1_habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,9617,NA,ND,ND
2017/03/15,NA,10478,34.85,1801,AMS Market Place,21.43%,3.33,Le Rugbynistere,Rugbynistere_Habillage_RG_ATF,Haut,1600x1000,Sublime Skinz,48889,NA,ND,ND
2017/03/15,NA,941,2.86,1802,AMS Market Place,59.33%,3.04,Rugby Transferts,RugbyTransferts_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1586,NA,ND,ND
2017/03/15,NA,565,1.72,2437,AMS Market Place,6.86%,3.04,Hockey Hebdo,HockeyHebdo_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,8231,NA,ND,ND
2017/03/15,NA,283,0.88,4565,AMS Market Place,11.47%,3.11,Sportune,Sportune_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,2467,NA,ND,ND
